ticker,company,fiscal_year,fiscal_period,period_end,form_type,filed_date,cash,financing_cash_flow,interest_expense,investing_cash_flow,long_term_debt,net_income,operating_cash_flow,operating_expenses,revenue,stockholders_equity,tax_expense,total_assets,total_liabilities,days_to_file,late_filing,revenue_yoy_pct,net_income_yoy_pct,operating_expenses_yoy_pct,total_assets_yoy_pct,profit_margin,debt_to_equity,cash_ratio,expense_ratio,expense_ratio_zscore,materiality_score,profit_margin_vs_peers
USB,US BANCORP DE,2019.0,Q3,2018-09-30,10-Q,2019-11-08,,,872000000.0,,,1815000000.0,,,5699000000.0,,460000000.0,,,404,1,4.21,8.36,,0.98,0.3185,,,,,20,0.0031
USB,US BANCORP DE,2018.0,FY,2018-12-31,10-K,2019-02-22,,,,,,,,,22637000000.0,,,,,53,0,313.91,8.36,,0.7100000000000001,,,,,,0,
USB,US BANCORP DE,2019.0,FY,2018-12-31,10-K,2020-02-20,,,,,41340000000.0,,,,,51029000000.0,,467374000000.0,415717000000.0,416,1,301.37,3.71,,1.31,,0.8101,,,,20,
USB,US BANCORP DE,2020.0,FY,2018-12-31,10-K,2021-02-23,,361000000.0,3254000000.0,-8977000000.0,,7096000000.0,10564000000.0,,,,1554000000.0,,,785,1,301.37,305.49,,0.6,,,,,,20,
USB,US BANCORP DE,2019.0,Q1,2019-03-31,10-Q,2019-05-09,,,,,40680000000.0,,,,5577000000.0,52057000000.0,,475775000000.0,423089000000.0,39,0,-2.1399999999999997,290.96000000000004,,2.4,,0.7815,,,,0,
USB,US BANCORP DE,2020.0,Q1,2019-03-31,10-Q,2020-05-07,,1910000000.0,1092000000.0,-6544000000.0,,1699000000.0,1296000000.0,,,,378000000.0,,,403,1,-75.36,-6.39,,2.4,,,,,,20,
USB,US BANCORP DE,2019.0,Q2,2019-06-30,10-Q,2019-08-01,,,,,41008000000.0,,,,5822000000.0,52913000000.0,,481719000000.0,428179000000.0,32,0,-74.28,-6.39,,3.0700000000000003,,0.775,,,,0,
USB,US BANCORP DE,2020.0,Q2,2019-06-30,10-Q,2020-08-06,,,1146000000.0,,,1821000000.0,,,,,449000000.0,,,403,1,-74.28,-74.33999999999999,,3.0700000000000003,,,,,,20,
USB,US BANCORP DE,2019.0,Q3,2019-09-30,10-Q,2019-11-08,,,,,41274000000.0,,,,5920000000.0,53517000000.0,,487671000000.0,433524000000.0,39,0,6.15,-74.33999999999999,,2.5,,0.7712,,,,0,
USB,US BANCORP DE,2020.0,Q3,2019-09-30,10-Q,2020-11-05,,,1156000000.0,,,1908000000.0,,,,,467000000.0,,,402,1,6.15,12.3,,2.5,,,,,,20,
USB,US BANCORP DE,2020.0,FY,2019-12-31,10-K,2021-02-23,,,,,40167000000.0,,,,,51853000000.0,,495426000000.0,442943000000.0,420,1,1.68,12.3,,2.85,,0.7746,,,,20,
USB,US BANCORP DE,2021.0,FY,2019-12-31,10-K,2022-02-22,,17623000000.0,4442000000.0,-21560000000.0,,6914000000.0,4889000000.0,,,,1648000000.0,,,784,1,1.68,279.68,,2.85,,,,,,20,
USB,US BANCORP DE,2020.0,Q1,2020-03-31,10-Q,2020-05-07,,,,,52298000000.0,,,,,51532000000.0,,542909000000.0,490747000000.0,37,0,0.0,279.68,,11.33,,1.0149,,,,0,
USB,US BANCORP DE,2021.0,Q1,2020-03-31,10-Q,2021-05-04,,44305000000.0,893000000.0,-22259000000.0,,1171000000.0,2354000000.0,,,,260000000.0,,,399,1,0.0,-38.629999999999995,,11.33,,,,,,20,
USB,US BANCORP DE,2020.0,Q2,2020-06-30,10-Q,2020-08-06,,,,,42579000000.0,,,,,51850000000.0,,546652000000.0,494172000000.0,37,0,0.0,-38.629999999999995,,10.34,,0.8212,,,,0,
USB,US BANCORP DE,2021.0,Q2,2020-06-30,10-Q,2021-08-03,,,472000000.0,,,689000000.0,,,,,64000000.0,,,399,1,0.0,-90.03,,10.34,,,,,,20,
USB,US BANCORP DE,2020.0,Q3,2020-09-30,10-Q,2020-11-05,,,,,42443000000.0,,,,,52565000000.0,,540455000000.0,487260000000.0,36,0,0.0,-90.03,,-0.44999999999999996,,0.8074,,,,0,
